Mobile_Device,bootstrap_sample_mean
iPhone 17 Pro Max,95.7662
iPhone 17 Pro Max,94.6971
iPhone 17 Pro Max,94.7761
iPhone 17 Pro Max,93.9495
iPhone 17 Pro Max,94.9286
iPhone 17 Pro Max,93.3337
iPhone 17 Pro Max,94.2775
iPhone 17 Pro Max,95.4827
iPhone 17 Pro Max,94.1861
iPhone 17 Pro Max,94.5747
iPhone 17 Pro Max,96.2091
iPhone 17 Pro Max,94.0346
iPhone 17 Pro Max,91.5693
iPhone 17 Pro Max,93.4525
iPhone 17 Pro Max,95.9266
iPhone 17 Pro Max,93.7334
iPhone 17 Pro Max,93.6436
iPhone 17 Pro Max,94.0198
iPhone 17 Pro Max,95.1801
iPhone 17 Pro Max,93.8817
iPhone 17 Pro Max,94.9965
iPhone 17 Pro Max,94.1296
iPhone 17 Pro Max,94.709
iPhone 17 Pro Max,94.4697
iPhone 17 Pro Max,94.5908
iPhone 17 Pro Max,93.6208
iPhone 17 Pro Max,94.5402
iPhone 17 Pro Max,93.4731
iPhone 17 Pro Max,93.4778
iPhone 17 Pro Max,96.2428
iPhone 17 Pro Max,93.5454
iPhone 17 Pro Max,93.7022
iPhone 17 Pro Max,94.2975
iPhone 17 Pro Max,92.9193
iPhone 17 Pro Max,95.5587
iPhone 17 Pro Max,94.3006
iPhone 17 Pro Max,93.5789
iPhone 17 Pro Max,95.0117
iPhone 17 Pro Max,96.6438
iPhone 17 Pro Max,93.1176
iPhone 17 Pro Max,95.2405
iPhone 17 Pro Max,93.5239
iPhone 17 Pro Max,95.4218
iPhone 17 Pro Max,94.5405
iPhone 17 Pro Max,92.0715
iPhone 17 Pro Max,95.5467
iPhone 17 Pro Max,95.1819
iPhone 17 Pro Max,93.3757
iPhone 17 Pro Max,94.6417
iPhone 17 Pro Max,94.5049
iPhone 17 Pro Max,93.2622
iPhone 17 Pro Max,94.6192
iPhone 17 Pro Max,93.8516
iPhone 17 Pro Max,94.0572
iPhone 17 Pro Max,94.257
iPhone 17 Pro Max,91.5062
iPhone 17 Pro Max,94.0586
iPhone 17 Pro Max,93.1731
iPhone 17 Pro Max,95.2202
iPhone 17 Pro Max,92.3452
iPhone 17 Pro Max,92.992
iPhone 17 Pro Max,95.7496
iPhone 17 Pro Max,93.2342
iPhone 17 Pro Max,94.6384
iPhone 17 Pro Max,94.6945
iPhone 17 Pro Max,96.2395
iPhone 17 Pro Max,93.3753
iPhone 17 Pro Max,95.2223
iPhone 17 Pro Max,95.8605
iPhone 17 Pro Max,94.5773
iPhone 17 Pro Max,95.6065
iPhone 17 Pro Max,93.3932
iPhone 17 Pro Max,94.7423
iPhone 17 Pro Max,94.3876
iPhone 17 Pro Max,93.3123
iPhone 17 Pro Max,94.6323
iPhone 17 Pro Max,96.3393
iPhone 17 Pro Max,93.5914
iPhone 17 Pro Max,94.7398
iPhone 17 Pro Max,92.2472
iPhone 17 Pro Max,93.7998
iPhone 17 Pro Max,95.5393
iPhone 17 Pro Max,93.7807
iPhone 17 Pro Max,91.8659
iPhone 17 Pro Max,93.3509
iPhone 17 Pro Max,94.2308
iPhone 17 Pro Max,95.5885
iPhone 17 Pro Max,95.4845
iPhone 17 Pro Max,94.163
iPhone 17 Pro Max,95.3611
iPhone 17 Pro Max,93.7586
iPhone 17 Pro Max,94.9506
iPhone 17 Pro Max,95.2615
iPhone 17 Pro Max,95.8575
iPhone 17 Pro Max,94.1139
iPhone 17 Pro Max,94.3802
iPhone 17 Pro Max,93.0986
iPhone 17 Pro Max,93.1601
iPhone 17 Pro Max,95.5055
iPhone 17 Pro Max,94.3816
iPhone 17 Pro Max,95.1957
iPhone 17 Pro Max,93.8871
iPhone 17 Pro Max,94.2976
iPhone 17 Pro Max,95.6072
iPhone 17 Pro Max,94.2485
iPhone 17 Pro Max,94.6512
